!	!	_!
!!	!!	_!!
!((	!((	_!((
!)	!)	_!)
!-	!-	_!-
!mxt	!MXT	_!mxt
!xt	!XT	_!xt
"ignore	"IGNORE	_"ignore
&	&	_&
'species'	'SPECIES'	_'species'
(!	(!	_(!
((	((	_((
(((	(((	_(((
)	)	_)
))	))	_))
))!	))!	_))!
)))	)))	_)))
-	-	_-
0	0	_0
1	1	_1
1,2-dibromoethane	1,2 DIBROMOETHANE	_1,2 || _dibromoethane
1.2	1.2	_1.2
1/2	1/2	_1/2
10	10	_10
100-ball	100 BALL	_100 || _ball
102	102	_102
10th	10TH	_10th
11	11	_11
11th	11TH	_11th
12	12	_12
13	13	_13
13th	13TH	_13th
14	14	_14
1486	1486	_1486
14th	14TH	_14th
15	15	_15
1533	1533	_1533
1534	1534	_1534
15924	15924	_15924
16	16	_16
17	17	_17
18	18	_18
182	182	_182
1844	1844	_1844
1857	1857	_1857
1870	1870	_1870
1897	1897	_1897
19	19	_19
1910	1910	_1910
1911	1911	_1911
1912	1912	_1912
1922	1922	_1922
1924	1924	_1924
1927	1927	_1927
1929	1929	_1929
1937	1937	_1937
1939	1939	_1939
1940	1940	_1940
1941	1941	_1941
1942	1942	_1942
1952	1952	_1952
1953	1953	_1953
1954	1954	_1954
1957	1957	_1957
1961	1961	_1961
1965	1965	_1965
1967	1967	_1967
1969	1969	_1969
1970	1970	_1970
1973	1973	_1973
1976	1976	_1976
1977	1977	_1977
1979	1979	_1979
1981	1981	_1981
1986	1986	_1986
1987	1987	_1987
1988	1988	_1988
1991	1991	_1991
1992	1992	_1992
1993	1993	_1993
1998	1998	_1998
1b	1B	_1b
1c	1C	_1c
1d	1D	_1d
1st	1ST	_1st
1x	1X	_1x
2	2	_2
20	20	_20
2000-rupee	2000 RUPEE	_2000 || _rupee
2001	2001	_2001
2002	2002	_2002
2005	2005	_2005
2007	2007	_2007
2007–2008	2007–2008	_2007–2008
2008	2008	_2008
2009	2009	_2009
2010	2010	_2010
2012	2012	_2012
2014	2014	_2014
2015	2015	_2015
2016	2016	_2016
2017	2017	_2017
2018	2018	_2018
2019	2019	_2019
21	21	_21
22	22	_22
23	23	_23
24	24	_24
25	25	_25
26	26	_26
27	27	_27
28	28	_28
29	29	_29
2a	2A	_2a
2g	2G	_2g
3	3	_3
3.0	3.0	_3.0
3/4	3/4	_3/4
30	30	_30
31	31	_31
3166	3166	_3166
3dmet	3DMET	_3dmet
3g	3G	_3g
3rd	3RD	_3rd
4	4	_4
42	42	_42
4a	4A	_4a
4b	4B	_4b
4g	4G	_4g
4th	4TH	_4th
5	5	_5
51	51	_51
54	54	_54
58	58	_58
59	59	_59
5a	5A	_5a
5th	5TH	_5th
6	6	_6
639	639	_639
639-1	639 1	_639 || _1
639-2	639 2	_639 || _2
639-3	639 3	_639 || _3
6th-century	6TH CENTURY	_6th || _century
7	7	_7
731	731	_731
8	8	_8
8th	8TH	_8th
9	9	_9
9th	9TH	_9th
;	;	_;
=	=	_=
?	?	_?
\	\	_\
a	A	_a
a.	A.	_a.
a.c.	A.C.	_a.c.
a.f.c.	A.F.C.	_a.f.c.
a380	A380	_a380
aaa	AAA	_aaa
aadityana	AADITYANA	_aadityana
aadmi	AADMI	_aadmi
aakash	AAKASH	_aakash
aalo	AALO	_aalo
aam	AAM	_aam
aambaliyasan	AAMBALIYASAN	_aambaliyasan
aamir	AAMIR	_aamir
aantaliya	AANTALIYA	_aantaliya
aarey	AAREY	_aarey
aaron	AARON	_aaron
aarti	AARTI	_aarti
aavje	AAVJE	_aavje
aayavej	AAYAVEJ	_aayavej
ab	AB	_ab
abacus	ABACUS	_abacus
abaji	ABAJI	_abaji
abb	ABB	_abb
