!	_!
!!	_!!
!((	_!((
!)	_!)
!-	_!-
!mxt	_!mxt
!xt	_!xt
"ignore	_"ignore
&	_&
'species'	_'species'
(!	_(!
((	_((
(((	_(((
)	_)
))	_))
))!	_))!
)))	_)))
-	_-
0	_0
1	_1
1,2-dibromoethane	_1,2 _- _dibromoethane
1.2	_1.2
1/2	_1/2
10	_10
100-ball	_100 _- _ball
102	_102
10th	_10th
11	_11
11th	_11th
12	_12
13	_13
13th	_13th
14	_14
1486	_1486
14th	_14th
15	_15
1533	_1533
1534	_1534
15924	_15924
16	_16
17	_17
18	_18
182	_182
1844	_1844
1857	_1857
1870	_1870
1897	_1897
19	_19
1910	_1910
1911	_1911
1912	_1912
1922	_1922
1924	_1924
1927	_1927
1929	_1929
1937	_1937
1939	_1939
1940	_1940
1941	_1941
1942	_1942
1952	_1952
1953	_1953
1954	_1954
1957	_1957
1961	_1961
1965	_1965
1967	_1967
1969	_1969
1970	_1970
1973	_1973
1976	_1976
1977	_1977
1979	_1979
1981	_1981
1986	_1986
1987	_1987
1988	_1988
1991	_1991
1992	_1992
1993	_1993
1998	_1998
1b	_1b
1c	_1c
1d	_1d
1st	_1st
1x	_1x
2	_2
20	_20
2000-rupee	_2000 _- _rupee
2001	_2001
2002	_2002
2005	_2005
2007	_2007
2007–2008	_2007–2008
2008	_2008
2009	_2009
2010	_2010
2012	_2012
2014	_2014
2015	_2015
2016	_2016
2017	_2017
2018	_2018
2019	_2019
21	_21
22	_22
23	_23
24	_24
25	_25
26	_26
27	_27
28	_28
29	_29
2a	_2a
2g	_2g
3	_3
3.0	_3.0
3/4	_3/4
30	_30
31	_31
3166	_3166
3dmet	_3dmet
3g	_3g
3rd	_3rd
4	_4
42	_42
4a	_4a
4b	_4b
4g	_4g
4th	_4th
5	_5
51	_51
54	_54
58	_58
59	_59
5a	_5a
5th	_5th
6	_6
639	_639
639-1	_639 _- _1
639-2	_639 _- _2
639-3	_639 _- _3
6th-century	_6th _- _century
7	_7
731	_731
8	_8
8th	_8th
9	_9
9th	_9th
;	_;
=	_=
?	_?
\	_\
a	_a
a.	_a.
a.c.	_a.c.
a.f.c.	_a.f.c.
a380	_a380
aaa	_aaa
aadityana	_aadityana
aadmi	_aadmi
aakash	_aakash
aalo	_aalo
aam	_aam
aambaliyasan	_aambaliyasan
aamir	_aamir
aantaliya	_aantaliya
aarey	_aarey
aaron	_aaron
aarti	_aarti
aavje	_aavje
aayavej	_aayavej
ab	_ab
abacus	_abacus
abaji	_abaji
abb	_abb
abbas	_abbas
abboud	_abboud
abbr	_abbr
abbreviation	_abbreviation
abdasa	_abdasa
abdominis	_abdominis
abdul	_abdul
abdulgani	_abdulgani
abdus	_abdus
abel	_abel
abhang	_abhang
abhay	_abhay
abhimanyu	_abhimanyu
abhinandananatha	_abhinandananatha
abhinav	_abhinav
abhishek	_abhishek
abhisheka	_abhisheka
abkhazia	_abkhazia
abn	_abn
abo	_abo
abolition	_abolition
abortion	_abortion
about	_about
abraham	_abraham
abrama	_abrama
abrus	_abrus
absurdism	_absurdism
abu	_abu
abu'l-fazl	_abu'l _- _fazl
abul	_abul
abvel	_abvel
ac/dc	_ac/dc
academic	_academic
access	_access
accessibility	_accessibility
account?	_account?
accounting	_accounting
accrual	_accrual
acf	_acf
achala	_achala
acharya	_acharya
achham	_achham
achhod	_achhod
achrekar	_achrekar
aconitifolia	_aconitifolia
acrochordus	_acrochordus
act,	_act,
actinium	_actinium
action	_action
activated	_activated
active	_active
activism	_activism
activists	_activists
actor	_actor
actors	_actor +s
actresses	_actresses
acts	_acts
acuminata	_acuminata
acupressure	_acupressure
acutus	_acutus
adalaj	_adalaj
adalja	_adalja
adam	_adam
adam's	_adam's
adamgarh	_adamgarh
adan	_adan
adansonia	_adan _sonia
adaptation	_adaptation
addition	_addition
address	_address
adelaide	_adelaide
aden	_aden
adenanthera	_adenanthera
adesar	_adesar
adhatoda	_adhatoda
adhewada	_adhewada
adhik	_adhik
adhiratha	_adhiratha
adho	_adho
adi	_adi
adidas	_adidas
adil	_adil
adilabad	_adilabad
adipur	_adipur
aditi	_aditi
