!	!
!!	!@@ !
!((	!@@ (@@ (
!)	!@@ )
!-	!@@ -
!mxt	!@@ m@@ xt
!xt	!@@ xt
"ignore	"@@ ig@@ n@@ ore
&	&
'species'	'@@ speci@@ es@@ '
(!	(@@ !
((	(@@ (
(((	(@@ (@@ (
)	)
))	)@@ )
))!	)@@ )@@ !
)))	)@@ )@@ )
-	-
0	0
1	1
1,2-dibromoethane	1@@ ,@@ 2@@ -@@ di@@ bro@@ mo@@ eth@@ an@@ e
1.2	1@@ .@@ 2
1/2	1/@@ 2
10	10
100-ball	10@@ 0@@ -@@ ball
102	10@@ 2
10th	10@@ th
11	11
11th	1@@ 1@@ th
12	12
13	13
13th	1@@ 3@@ th
14	14
1486	1@@ 4@@ 8@@ 6
14th	1@@ 4@@ th
15	15
1533	15@@ 3@@ 3
1534	15@@ 3@@ 4
15924	15@@ 9@@ 24
16	16
17	17
18	18
182	18@@ 2
1844	18@@ 4@@ 4
1857	18@@ 5@@ 7
1870	18@@ 7@@ 0
1897	18@@ 9@@ 7
19	19
1910	19@@ 10
1911	19@@ 11
1912	19@@ 12
1922	19@@ 22
1924	19@@ 24
1927	19@@ 27
1929	19@@ 29
1937	19@@ 3@@ 7
1939	19@@ 39
1940	19@@ 4@@ 0
1941	19@@ 4@@ 1
1942	19@@ 4@@ 2
1952	19@@ 5@@ 2
1953	19@@ 5@@ 3
1954	19@@ 5@@ 4
1957	19@@ 5@@ 7
1961	196@@ 1
1965	196@@ 5
1967	196@@ 7
1969	196@@ 9
1970	197@@ 0
1973	197@@ 3
1976	197@@ 6
1977	197@@ 7
1979	197@@ 9
1981	19@@ 8@@ 1
1986	19@@ 8@@ 6
1987	19@@ 8@@ 7
1988	19@@ 8@@ 8
1991	199@@ 1
1992	199@@ 2
1993	199@@ 3
1998	199@@ 8
1b	1@@ b
1c	1@@ c
1d	1@@ d
1st	1@@ st
1x	1@@ x
2	2
20	20
2000-rupee	200@@ 0@@ -@@ rupe@@ e
2001	200@@ 1
2002	200@@ 2
2005	200@@ 5
2007	200@@ 7
2007–2008	200@@ 7@@ –@@ 200@@ 8
2008	200@@ 8
2009	200@@ 9
2010	201@@ 0
2012	2012
2014	201@@ 4
2015	201@@ 5
2016	201@@ 6
2017	201@@ 7
2018	2018
2019	201@@ 9
21	21
22	22
23	23
24	24
25	25
26	26
27	27
28	28
29	29
2a	2@@ a
2g	2@@ g
3	3
3.0	3@@ .@@ 0
3/4	3@@ /@@ 4
30	30
31	31
3166	3@@ 1@@ 6@@ 6
3dmet	3@@ d@@ me@@ t
3g	3@@ g
3rd	3@@ r@@ d
4	4
42	4@@ 2
4a	4@@ a
4b	4@@ b
4g	4@@ g
4th	4@@ th
5	5
51	5@@ 1
54	5@@ 4
58	5@@ 8
59	5@@ 9
5a	5@@ a
5th	5@@ th
6	6
639	639
639-1	639@@ -@@ 1
639-2	639@@ -@@ 2
639-3	639@@ -@@ 3
6th-century	6@@ th@@ -@@ cent@@ ur@@ y
7	7
731	7@@ 31
8	8
8th	8@@ th
9	9
9th	9@@ th
;	;
=	=
?	?
\	\
a	a
a.	a@@ .
a.c.	a@@ .c.
a.f.c.	a@@ .@@ f.c.
a380	a@@ 3@@ 8@@ 0
aaa	a@@ a@@ a
aadityana	a@@ adi@@ ty@@ ana
aadmi	a@@ ad@@ mi
aakash	a@@ ak@@ as@@ h
aalo	a@@ al@@ o
aam	a@@ am
aambaliyasan	a@@ am@@ bal@@ iy@@ as@@ an
aamir	a@@ am@@ ir
aantaliya	a@@ an@@ tali@@ ya
aarey	a@@ ar@@ ey
aaron	a@@ ar@@ on
aarti	a@@ ar@@ ti
aavje	a@@ av@@ j@@ e
aayavej	a@@ a@@ ya@@ ve@@ j
ab	a@@ b
abacus	a@@ ba@@ c@@ us
abaji	a@@ ba@@ ji
abb	ab@@ b
abbas	ab@@ ba@@ s
abboud	ab@@ bo@@ u@@ d
abbr	ab@@ b@@ r
abbreviation	ab@@ bre@@ vi@@ ation
abdasa	ab@@ das@@ a
abdominis	ab@@ do@@ min@@ is
abdul	ab@@ du@@ l
