!	!	_!
!!	!!	_!!
!((	!((	_!((
!)	!)	_!)
!-	!-	_!-
!mxt	!MXT	_!mxt
!xt	!XT	_!xt
"નિયમોને	"નિયમોને	_"નિયમોને
'species'	'SPECIES'	_'species'
'ધૂમકેતુ'	'ધૂમકેતુ'	_'ધૂમકેતુ'
(!	(!	_(!
((	((	_((
(((	(((	_(((
)	)	_)
))	))	_))
))!	))!	_))!
)))	)))	_)))
*	*	_*
-	-	_-
--	--	_--
-૧૯૫૯	-૧૯૫૯	_-૧૯૫૯
0	0	_0
1	1	_1
1/2	1/2	_1/2
15924	15924	_15924
1911	1911	_1911
1986	1986	_1986
1b	1B	_1b
1c	1C	_1c
1d	1D	_1d
1x	1X	_1x
2	2	_2
2012	2012	_2012
2015	2015	_2015
2016	2016	_2016
2a	2A	_2a
3	3	_3
3.0	3.0	_3.0
3166	3166	_3166
3dmet	3DMET	_3dmet
4	4	_4
42	42	_42
4a	4A	_4a
4b	4B	_4b
5	5	_5
51	51	_51
54	54	_54
5a	5A	_5a
6	6	_6
639	639	_639
639-1	639 1	_639 || _1
639-2	639 2	_639 || _2
639-3	639 3	_639 || _3
;	;	_;
=	=	_=
?	?	_?
\	\	_\
a	A	_a
a.c.	A.C.	_a.c.
aaa	AAA	_aaa
ab	AB	_ab
abbr	ABBR	_abbr
abbreviation	ABBREVIATION	_abbreviation
about	ABOUT	_about
academic	ACADEMIC	_academic
access	ACCESS	_access
accessibility	ACCESSIBILITY	_accessibility
acf	ACF	_acf
active	ACTIVE	_active
acts	ACTS	_acts
aden	ADEN	_aden
adjacent	ADJACENT	_adjacent
admin	ADMIN	_admin
adminship	ADMINSHIP	_adminship
adolfobs93	ADOLFOBS93	_adolfobs93
adultfilm	ADULTFILM	_adultfilm
af	AF	_af
afd	AFD	_afd
afds	AFD +(s)	_afd +s
afds/core	AFDS/CORE	_afds/core
afghanistan	AFGHANISTAN	_afghanistan
africa	AFRICA	_africa
african	AFRICAN	_african
age	AGE	_age
age/days	AGE/DAYS	_age/days
age/months	AGE/MONTHS	_age/months
age/years	AGE/YEARS	_age/years
agency	AGENCY	_agency
ago	AGO	_ago
aguas	AGUAS	_aguas
aguascalientes	AGUASCALIENTES	_aguascalientes
air	AIR	_air
airline	AIRLINE	_airline
airport	AIRPORT	_airport
airport/datatable	AIRPORT/DATATABLE	_airport/datatable
alabama	ALABAMA	_alabama
aladdin	ALADDIN	_aladdin
alaska	ALASKA	_alaska
albania	ALBANIA	_albania
alberta	ALBERTA	_alberta
alberth2	ALBERTH2	_alberth2
album	ALBUM	_album
album/link	ALBUM/LINK	_album/link
alexander	ALEXANDER	_alexander
alexsh	ALEXSH	_alexsh
algeria	ALGERIA	_algeria
ali	ALI	_ali
alias	ALIAS	_alias
align	ALIGN	_align
aligned	ALIGNED	_aligned
all	ALL	_all
allcaps	ALLCAPS	_allcaps
alleborgobot	ALLEBORGOBOT	_alleborgobot
allothernames	ALLOTHERNAMES	_allothernames
allothernames/format	ALLOTHERNAMES/FORMAT	_allothernames/format
allow	ALLOW	_allow
almabot	ALMABOT	_almabot
alnoktabot	ALNOKTABOT	_alnoktabot
alone	ALONE	_alone
also	ALSO	_also
alternative	ALTERNATIVE	_alternative
ambox	AMBOX	_ambox
ambox/category	AMBOX/CATEGORY	_ambox/category
ambox/core	AMBOX/CORE	_ambox/core
american	AMERICAN	_american
amiens984~guwiki	AMIENS984~GUWIKI	_amiens984~guwiki
amounts	AMOUNTS	_amounts
amtrak	AMTRAK	_amtrak
an	AN	_an
anas1712	ANAS1712	_anas1712
anb	ANB	_anb
anchor	ANCHOR	_anchor
ancient	ANCIENT	_ancient
