!	_!
!!	_!!
!((	_!((
!)	_!)
!-	_!-
!mxt	_!mxt
!xt	_!xt
"નિયમોને	_"નિયમોને
'species'	_'species'
'ધૂમકેતુ'	_'ધૂમકેતુ'
(!	_(!
((	_((
(((	_(((
)	_)
))	_))
))!	_))!
)))	_)))
*	_*
-	_-
--	_--
-૧૯૫૯	_-૧૯૫૯
0	_0
1	_1
1/2	_1/2
15924	_15924
1911	_1911
1986	_1986
1b	_1b
1c	_1c
1d	_1d
1x	_1x
2	_2
2012	_2012
2015	_2015
2016	_2016
2a	_2a
3	_3
3.0	_3.0
3166	_3166
3dmet	_3dmet
4	_4
42	_42
4a	_4a
4b	_4b
5	_5
51	_51
54	_54
5a	_5a
6	_6
639	_639
639-1	_639 _- _1
639-2	_639 _- _2
639-3	_639 _- _3
;	_;
=	_=
?	_?
\	_\
a	_a
a.c.	_a.c.
aaa	_aaa
ab	_ab
abbr	_abbr
abbreviation	_abbreviation
about	_about
academic	_academic
access	_access
accessibility	_accessibility
acf	_acf
active	_active
acts	_acts
aden	_aden
adjacent	_adjacent
admin	_admin
adminship	_adminship
adolfobs93	_adolfobs93
adultfilm	_adultfilm
af	_af
afd	_afd
afds	_afd +s
afds/core	_afds/core
afghanistan	_afghanistan
africa	_africa
african	_african
age	_age
age/days	_age/days
age/months	_age/months
age/years	_age/years
agency	_agency
ago	_ago
aguas	_aguas
aguascalientes	_aguascalientes
air	_air
airline	_airline
airport	_airport
airport/datatable	_airport/datatable
alabama	_alabama
aladdin	_aladdin
alaska	_alaska
albania	_albania
alberta	_alberta
alberth2	_alberth2
album	_album
album/link	_album/link
alexander	_alexander
alexsh	_alexsh
algeria	_algeria
ali	_ali
alias	_alias
align	_align
aligned	_aligned
all	_all
allcaps	_allcaps
alleborgobot	_alleborgobot
allothernames	_allothernames
allothernames/format	_allothernames/format
allow	_allow
almabot	_almabot
alnoktabot	_alnoktabot
alone	_alone
also	_also
alternative	_alternative
ambox	_ambox
ambox/category	_ambox/category
ambox/core	_ambox/core
american	_american
amiens984~guwiki	_amiens984~guwiki
amounts	_amounts
amtrak	_amtrak
an	_an
anas1712	_anas1712
anb	_anb
anchor	_anchor
ancient	_ancient
and	_and
andaman	_andaman
andhra	_andhra
andorra	_andorra
andre	_andre
angela	_angela
anglicise	_anglicise
anna	_anna
announcement	_announcement
anoopan	_anoopan
anthem	_anthem
anti-vandalism	_anti _- _vandalism
antigua	_antigua
antwerp	_antwerp
any	_any
apalsola	_apalsola
apple	_apple
ar	_ar
arab	_arab
arabia	_arabia
archaeological	_archaeological
architect	_architect
archive	_archive
archives	_archive +s
area	_area
arguments	_arguments
arizona	_arizona
arkansas	_arkansas
armenia	_armenia
armenian	_armenian
arms	_arms
army	_army
arseny1992	_arseny1992
arthurbot	_arthurbot
article	_article
articles	_article +s
artigas	_artigas
artwork	_artwork
arunachal	_arunachal
as	_as
asbox	_asbox
asi	_asi
asia	_asia
assessment	_assessment
ast	_ast
astronaut	_astronaut
athletics	_athletics
atom	_atom
atp	_atp
attack	_attack
attribution-sharealike	_attribution _- _sharealike
au	_au
audio	_audio
audio-ipa	_audio _- _ipa
australia	_australia
austria	_austria
austria-hungary	_austria _- _hungary
austria/doc	_austria/doc
author	_author
auto	_auto
automatic	_automatic
autotaxobox	_auto _taxobox
av	_av
avicbot	_avicbot
avicennasis	_avicennasis
avocatobot	_avocatobot
award	_award
awards	_award +s
az	_az
azad	_azad
azerbaijan	_azerbaijan
azores	_azores
baba	_baba
babel	_babel
babel-n	_babel _- _n
babu	_babu
backlog	_backlog
bad	_bad
badminton	_badminton
bahawalpur	_bahawalpur
bahrain	_bahrain
baja	_baja
ban	_ban
bananas	_bananas
bananasargs	_bananasargs
bangladesh	_bangladesh
banknote	_banknote
banner	_banner
banner/config	_banner/config
bar	_bar
barbuda	_barbuda
bare	_bare
barnstar	_barnstar
barnstars	_barnstar +s
based	_based
basepage	_basepage
basepagename	_basepage _name
batavian	_batavian
bayern	_bayern
be	_be
beaukarpo	_beaukarpo
beetstra	_beetstra
begin	_begin
beilstein	_beilstein
belarus	_belarus
belgium	_belgium
bengali-language	_bengali _- _language
benin	_benin
bermuda	_bermuda
bernardm	_bernardm
beta	_beta
better	_better
bg	_bg
bgbot	_bgbot
bharatiya	_bharatiya
bho	_bho
bhutan	_bhutan
bibleref2	_bibleref2
bibleref2c	_bibleref2c
bibleref2c-nb	_bibleref2c _- _nb
