!	_!
"	_"
#	_#
$	_$
%	_%
&	_&
'	_'
'a	_'a
'aa	_'aa
'ab	_'ab
'abadia	_'abadia
'abate	_'abate
'abbate	_'abbate
'abbaye	_'abbaye
'abbondio	_'abbondio
'abbé	_'abbé
'abd	_'abd
'abdu	_'abdu
'abeille	_'abeille
'abergement-de-cuisery	_'abergement _- _de _- _cuisery
'abergement-sainte-colombe	_'abergement _- _sainte _- _colombe
'abidjanaise	_'abidjanaise
'abzac	_'abzac
'aclon	_'aclon
'acqua	_'acqu +a
'acqui	_'acqu +i
'ad	_'ad
'adamello	_'adamello
'adda	_'add +a
'adige	_'adige
'adour	_'adour
'adri	_'adri
'affaires	_'affaires
'affermo	_'affermo
'agapito	_'agapito
'agata	_'agata
'agenais	_'agenais
'agliano	_'agliano
'agly	_'agly
'agnello	_'agnello
'agogna	_'agogna
'agordo	_'agordo
'agostino	_'agostino
'agri	_'agri
'agrò	_'agrò
'agultu	_'agultu
'ah	_'ah
'ahun	_'ahun
'aiano	_'aiano
'aiello	_'aiello
'aigle	_'aigle
'aigouze	_'aigouze
'aigrefeuille	_'aigrefeuille
'aiguevives	_'aiguevives
'aiguille	_'aiguille
'aiguillon	_'aiguillon
'aillerie	_'aillerie
'ailly	_'ailly
'air	_'air
'airou	_'airou
'aisey	_'aisey
'ajjer	_'ajjer
'ajol	_'ajol
'alacant	_'alacant
'alagnon	_'alagnon
'alba	_'alba
'albagnan	_'albagnan
'albaida	_'albaida
'albano	_'alb +ano
'albarède	_'albarède
'albe	_'albe
'albenga	_'albenga
'albret	_'albret
'albuges	_'albuges
'albère	_'albère
'alcalà	_'alcalà
'alcântara	_'alcântara
'ale	_'ale
'alembert	_'alembert
'alemps	_'alemps
'alene	_'alene
'alesani	_'alesani
'alessandro	_'alessandro
'alessio	_'alessio
'alfaedo	_'alfaedo
'alfero	_'alfero
'alfio	_'alfio
'alfred	_'alfred
'alfàs	_'alfàs
'alho	_'alho
'ali	_'ali
'aliança	_'aliança
'aliermont	_'aliermont
'alife	_'alife
'allas	_'allas
'allier	_'allier
'allonne	_'allonne
'allègre	_'allègre
'almenêches	_'almenêches
'almè	_'almè
'almúnia	_'almúnia
'alpago	_'alpago
'alpinolo	_'alpinolo
'alpone	_'alpone
'alqueria	_'alqueria
'altino	_'altino
'alto	_'alto
'alunzio	_'alunzio
'am	_'am
'amaury	_'amaury
'ambrogio	_'ambrogio
'amont	_'amont
'ampugnani	_'ampugnani
'amr	_'amr
'amunt	_'amunt
'an	_'an
'anastasia	_'anastasia
'anatolia	_'anatolia
'ance	_'ance
'ancelles	_'ancelles
'anchise	_'anchise
'andaine	_'andaine
'andelot	_'andelot
'andenay	_'andenay
'andorge	_'andorge
'andrea	_'andrea
'andréa-d	_'andréa _- _d
'andréa-di-bozio	_'andréa _- _di _- _bozio
'andréa-di-cotone	_'andréa _- _di _- _cotone
'angelo	_'angelo
'anjou	_'anjou
'anna	_'ann +a
'annebecq	_'annebecq
'anoia	_'anoia
'ans	_'an +s
'anse	_'anse
'ansidonia	_'ansidonia
'anta	_'anta
'ante	_'ante
'antifer	_'antifer
'antimo	_'antimo
'antino	_'antino
'antioco	_'antioco
