Path	transform_length_weighting_exponent	precision_threshold	F1
tuning/morsel/ne_en/12	1.5	0.05	66.35
tuning/morsel/ne_en/7	1.25	0.05	66.25
tuning/morsel/ne_en/16	2.0	0.075	65.97
tuning/morsel/ne_en/11	1.5	0.075	65.95
tuning/morsel/ne_en/1	1.0	0.075	65.76
tuning/morsel/ne_en/2	1.0	0.05	65.76
tuning/morsel/ne_en/6	1.25	0.075	65.76
tuning/morsel/ne_en/17	2.0	0.05	65.66
tuning/morsel/ne_en/15	2.0	0.1	65.48
tuning/morsel/ne_en/10	1.5	0.1	65.4
tuning/morsel/ne_en/0	1.0	0.1	65.17
tuning/morsel/ne_en/5	1.25	0.1	65.13
tuning/morsel/ne_en/18	2.0	0.025	64.64
tuning/morsel/ne_en/13	1.5	0.025	64.09
tuning/morsel/ne_en/3	1.0	0.025	63.75
tuning/morsel/ne_en/8	1.25	0.025	63.72
tuning/morsel/ne_en/19	2.0	0.01	62.85
tuning/morsel/ne_en/14	1.5	0.01	62.66
tuning/morsel/ne_en/4	1.0	0.01	62.4
tuning/morsel/ne_en/9	1.25	0.01	62.19
