Path	transform_length_weighting_exponent	precision_threshold	F1
tuning/morsel/si_en/15	2.0	0.1	65.6
tuning/morsel/si_en/11	1.5	0.075	65.29
tuning/morsel/si_en/13	1.5	0.025	65.29
tuning/morsel/si_en/5	1.25	0.1	65.25
tuning/morsel/si_en/16	2.0	0.075	65.24
tuning/morsel/si_en/10	1.5	0.1	65.2
tuning/morsel/si_en/6	1.25	0.075	65.1
tuning/morsel/si_en/17	2.0	0.05	65.1
tuning/morsel/si_en/18	2.0	0.025	65.1
tuning/morsel/si_en/1	1.0	0.075	65.07
tuning/morsel/si_en/2	1.0	0.05	64.98
tuning/morsel/si_en/12	1.5	0.05	64.96
tuning/morsel/si_en/7	1.25	0.05	64.94
tuning/morsel/si_en/0	1.0	0.1	64.85
tuning/morsel/si_en/8	1.25	0.025	64.49
tuning/morsel/si_en/14	1.5	0.01	64.46
tuning/morsel/si_en/9	1.25	0.01	64.24
tuning/morsel/si_en/3	1.0	0.025	64.22
tuning/morsel/si_en/19	2.0	0.01	64.17
tuning/morsel/si_en/4	1.0	0.01	63.7
